[2026-03-24T04:54:08.954Z] Server started/reloaded
[2026-03-24T04:55:43.451Z] Server started/reloaded
[2026-03-24T05:17:41.164Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:17:46.994Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:17:46.997Z] [REQUEST] GET /api/passes
[2026-03-24T05:17:46.999Z] [REQUEST] GET /api/passes
[2026-03-24T05:17:47.006Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:18:15.338Z] [REQUEST] GET /api/residents/by-user/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:18:15.341Z] [REQUEST] GET /api/passes
[2026-03-24T05:18:15.342Z] [REQUEST] GET /api/passes
[2026-03-24T05:18:15.351Z] [REQUEST] GET /api/residents/fda40f1e-ef81-4f27-9075-d8964de02c59
[2026-03-24T05:18:17.456Z] [REQUEST] POST /api/passes
[2026-03-24T05:18:30.602Z] [REQUEST] GET /api/users
[2026-03-24T05:19:02.992Z] [REQUEST] GET /api/health
[2026-03-24T05:19:02.993Z] [REQUEST] GET /api/health
[2026-03-24T05:19:02.995Z] [REQUEST] GET /api/health
